ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source,Location
NaMeoTuyenQuang,Na Meo (Tuyen Quang),,,,,21.8486731,105.4383658,Hmong-Mien,Hsiu2015,"Tuyen Quang province, Vietnam"
NaMeoCaoBang,Na Meo (Cao Bang),name1237,Ná-Meo,neo,Eurasia,22.4820439,106.4824318,Hmong-Mien,Edmondson2001,"Cao Bang province, Vietnam"
Zhenmin,Zhenmin,,,,,25.5894065,109.185151,Hmong-Mien,Chen2013,"Zhenmin 振民, Gongdong Township 拱洞乡, Rongshui County, 融水县, Guangxi, China"
Guncen,Guncen,,,,,25.5137346,108.929175,Hmong-Mien,Committee2008,"Guncen 滚岑村, Dongtou 洞头乡 Rongshui County 融水县, Guangxi, China"
SouthernQiandong,Yaogao,sout2754,Southern Qiandong Miao,hms,Eurasia,26.688723,108.401234,Hmong-Mien,Chen2013,"Yaogao 尧告, Rongshui County 融水县, Guangxi, China"
Datu,Datu,,,,,25.5466686,108.260913,Hmong-Mien,Li2000,"Datu 大土村, Jiuqian Township 九迁乡, Libo County 荔波县, Guizhou, China"
Yangpai,Yangpai,,,,,26.1808945,107.862497,Hmong-Mien,Li2000,"Yangpai 羊排村, Yangwu Township, Danzhai County 丹寨县, Guizhou, China"
EasternQiandong,Caidiwan,east2370,Eastern Qiandong Miao,hmq,Eurasia,26.5359365,109.453652,Hmong-Mien,Chen2013,"Caidiwan 菜地湾, Jingzhou County 靖州县, Hunan, China"
Xiangao,Xiang’ao,,,,,26.6739886,109.196649,Hmong-Mien,Li2000,"Xiang'ao 香鳌, Sanjiang County 三江乡, Jinping Counrt 锦屏县, Guizhou, China"
WesternQiandong,Heba,,,,,26.4342625,107.681984,Hmong-Mien,Chen2013,"Heba 河坝乡, Majiang County 麻江县, Guizhou, China"
Baixing,Baixing,,,,,26.4342625,107.681984,Hmong-Mien,Li2000,"Baixing 白兴村, Heba 河坝乡, Majiang County 麻江县, Guizhou, China"
NorthernQiandong,Yanghao,nort2747,Northern Qiandong Miao,hea,Eurasia,26.688723,108.401234,Hmong-Mien,Chen2013,"Yanghao 养蒿寨, Guading Town 挂丁镇, Kaili City 凯里市, Guizhou 贵州省, China"
